"id","text","labels"
"1","(熱壓土司)八棟花生麻糬","Root;食材;全穀雜糧類;其它類;堅果種子類;花生;麵包;點心甜品類;吐司"
"2","(熱壓土司)丹麥鮪魚起司","Root;食材;乳品類;全穀雜糧類;海鮮類;起司;魚類;麵包;丹麥可頌;吐司;鮪魚"
"3","(熱壓土司)丹麥鮪魚嫩蛋","Root;食材;全穀雜糧類;海鮮類;蛋類;魚類;麵包;丹麥可頌;吐司;鮪魚"
"4","(熱壓土司)巧脆可可麻糬","Root;食材;全穀雜糧類;其它類;堅果種子類;可可;麵包;點心甜品類;吐司"
"5","(熱壓土司)里肌肉蛋","Root;食材;全穀雜糧類;肉類;蛋類;麵包;吐司"
"6","(熱壓土司)花生醬燻培根","Root;食材;全穀雜糧類;堅果種子類;肉類;加工肉品;花生;麵包;吐司;培根"
"7","(熱壓土司)青醬雞絲","Root;食材;全穀雜糧類;肉類;雞;麵包;吐司"
"8","(熱壓土司)厚起司蛋","Root;食材;乳品類;全穀雜糧類;蛋類;起司;麵包;吐司"
"9","(熱壓土司)美式BBQ燻腸","Root;食材;全穀雜糧類;肉類;加工肉品;麵包;吐司"
"10","(熱壓土司)香帥芋泥金沙","Root;食材;全穀雜糧類;蛋類;芋頭;麵包;吐司"
"11","(熱壓土司)紐奧良風味烤雞","Root;食材;全穀雜糧類;肉類;雞;麵包;吐司"
"12","(熱壓土司)頌丹樂香辣打拋雞","Root;食材;全穀雜糧類;肉類;蔬菜類;辣椒;雞;麵包;吐司"
"13","(熱壓土司)醬燒炙烤牛","Root;食材;全穀雜糧類;肉類;牛;麵包;吐司"
"14","[小倉食宅]  黑糖玫瑰四物飲","Root;食材;其它類;飲品類;點心甜品類;黑糖"
"15","[小倉食宅] 黑糖桂圓紅棗茶","Root;食材;其它類;水果類;中藥材;飲品類;點心甜品類;龍眼;紅棗;茶類;黑糖"
"16","[36法郎]典藏拿堤咖啡","Root;食材;其它類;飲品類;咖啡"
"17","[36法郎]極品拿堤咖啡","Root;食材;其它類;飲品類;咖啡"
"18","[3點1刻]不想吃糖-日月潭奶茶(減糖)","Root;食材;其它類;飲品類;茶類;奶茶"
"19","[3點1刻]抹茶豆奶","Root;食材;其它類;豆類;豆漿豆奶;飲品類;茶類;綠茶抹茶"
"20","[3點1刻]紅茶豆奶","Root;食材;其它類;豆類;豆漿豆奶;飲品類;茶類;紅茶"
"21","[3點1刻]黑芝麻豆奶","Root;食材;堅果種子類;豆類;芝麻;豆漿豆奶"
"22","[3點1刻]經典-炭燒奶茶","Root;食材;其它類;飲品類;茶類;奶茶"
"23","[3點1刻]經典原味奶茶","Root;食材;其它類;飲品類;茶類;奶茶"
"24","[3點1刻]鮮萃冷韻四季春","Root;食材;其它類;飲品類;茶類;烏龍青茶"
"25","[3點1刻]鮮萃冷韻黃金蕎麥茶","Root;食材;全穀雜糧類;其它類;飲品類;麥;茶類"
"26","[3點1刻]鮮萃冷韻蜜香烏龍","Root;食材;其它類;飲品類;茶類;烏龍青茶"
"27","[AGF]Blendy即溶咖啡-經典","Root;食材;其它類;飲品類;咖啡"
"28","[AGF]CAFE LATORY咖啡-卡布奇諾","Root;食材;其它類;飲品類;咖啡"
"29","[AGF]LATORY 咖啡-濃厚無糖拿鐵","Root;食材;其它類;飲品類;咖啡;拿鐵"
"30","[AGF]LATORY咖啡-焦糖瑪奇朵","Root;食材;其它類;飲品類;咖啡"
"31","[AGF]抹茶拿鐵粉","Root;食材;其它類;飲品類;咖啡;茶類;拿鐵;綠茶抹茶"
"32","[AGF]芳醇即溶咖啡","Root;食材;其它類;飲品類;咖啡"
"33","[AGF]濃厚抹茶拿鐵粉","Root;食材;其它類;飲品類;咖啡;茶類;拿鐵;綠茶抹茶"
"34","[Ammerlander 愛牧]德國純牛奶","Root;食材;乳品類;牛奶"
"35","[ASAHI 朝日]WONDA 豐香黑咖啡","Root;食材;其它類;飲品類;咖啡;黑咖啡"
"36","[ASAHI 朝日]十六茶 零咖啡因複方茶","Root;食材;其它類;飲品類;茶類"
"37","[ASAHI 朝日]十六茶零咖啡因豆乳奶茶","Root;食材;其它類;豆類;豆漿豆奶;飲品類;茶類;奶茶"
"38","[ASAHI 朝日]咖啡因複方茶","Root;食材;其它類;飲品類;茶類"
"39","[ASAHI 朝日]原味可爾必思飲料","Root;食材;其它類;飲品類"
"40","[BEANISE]奶酒風味即溶咖啡","Root;食材;乳品類;其它類;牛奶;飲品類;咖啡;酒"
"41","[BEANISE]香草風味即溶咖啡","Root;食材;其它類;調味料;飲品類;咖啡;香草"
"42","[BEANISE]香濃焦糖風味即溶咖啡","Root;食材;其它類;飲品類;咖啡"
"43","[BEANISE]榛果風味即溶咖啡","Root;食材;其它類;堅果種子類;榛果;飲品類;咖啡"
"44","[BessieByer 貝思寶兒]蜜桃果茶","Root;食材;其它類;水果類;水蜜桃;飲品類;茶類"
"45","[BessieByer 貝思寶兒]檸檬紅茶","Root;食材;其它類;水果類;柑橘;飲品類;檸檬;茶類;紅茶"
"46","[BessieByer 貝思寶兒]覆盆子果茶","Root;食材;其它類;水果類;其他水果;飲品類;茶類"
"47","[Binggrae]哈密瓜牛奶-保久調味乳","Root;食材;乳品類;水果類;其他水果;牛奶;保久乳"
"48","[Binggrae]香蕉牛奶-保久調味乳","Root;食材;乳品類;水果類;牛奶;香蕉;保久乳"
"49","[Binggrae]栗子牛奶/保久調味乳","Root;食材;乳品類;堅果種子類;牛奶;保久乳"
"50","[Binggrae]草莓牛奶-保久調味乳","Root;食材;乳品類;水果類;牛奶;莓果;保久乳;草莓"
"51","[BIO-TECH 台酒生技]桂圓黑麥汁","Root;食材;全穀雜糧類;其它類;水果類;飲品類;麥;龍眼;汽水"
"52","[BIO-TECH 台酒生技]烏梅黑麥汁","Root;食材;全穀雜糧類;其它類;水果類;梅子;飲品類;麥;汽水"
"53","[BOSS]CRAFT BOSS香檸梅風味飲料","Root;食材;其它類;水果類;柑橘;梅子;飲品類;檸檬"
"54","[C7]速溶黑咖啡","Root;食材;其它類;飲品類;咖啡;黑咖啡"
"55","[CACHA 卡恰]高粱蒜香厚Q條","Root;食材;其它類;蔬菜類;豆類;蒜;豆干;飲品類;酒;高粱"
